path,arousal,valence,dominance
audio/01/ang_01_01.wav,"0,81200","0,23500","0,77759"
audio/02/ang_01_02.wav,"0,88000","0,10000","0,89655"
audio/04/ang_01_04.wav,"0,72000","0,26667","0,79310"
audio/05/ang_01_05.wav,"0,72000","0,26667","0,68966"
audio/06/ang_01_06.wav,"0,68000","0,20000","0,68966"
audio/07/ang_01_07.wav,"0,36600","0,38833","0,39655"
audio/08/ang_01_08.wav,"0,52000","0,43333","0,55172"
audio/09/ang_01_09.wav,"0,53400","0,52833","0,53966"
audio/10/ang_01_10.wav,"0,60000","0,60000","0,55172"
audio/13/ang_01_13.wav,"0,64000","0,40000","0,58621"
audio/14/ang_01_14.wav,"0,25000","0,29167","0,48276"
audio/15/ang_01_15.wav,"0,40000","0,72167","0,42586"
audio/16/ang_01_16.wav,"0,73400","0,66667","0,59828"
audio/17/ang_01_17.wav,"0,53400","0,33333","0,42586"
audio/18/ang_01_18.wav,"0,33400","0,22167","0,36724"
audio/19/ang_01_19.wav,"0,40000","0,38833","0,48276"
audio/20/ang_01_20.wav,"0,60000","0,33333","0,65517"
audio/21/ang_01_21.wav,"0,65000","0,45833","0,74138"
audio/29/ang_01_29.wav,"0,80000","0,16667","0,82759"
audio/30/ang_01_30.wav,"0,73400","0,16667","0,77069"
audio/31/ang_01_31.wav,"0,72000","0,43333","0,62069"
audio/32/ang_01_32.wav,"0,85000","0,20833","0,87069"
audio/33/ang_01_33.wav,"0,70000","0,29167","0,69828"
audio/34/ang_01_34.wav,"0,40000","0,41667","0,48276"
audio/35/ang_01_35.wav,"0,64000","0,36667","0,65517"
audio/36/ang_01_36.wav,"0,40000","0,25000","0,52586"
audio/37/ang_01_37.wav,"0,60000","0,29167","0,61207"
audio/38/ang_01_38.wav,"0,70000","0,29167","0,78448"
audio/39/ang_01_39.wav,"0,60000","0,33333","0,56897"
audio/40/ang_01_40.wav,"0,65000","0,25000","0,78448"
audio/41/ang_01_41.wav,"0,84000","0,10000","0,89655"
audio/42/ang_01_42.wav,"0,65000","0,41667","0,69828"
audio/43/ang_01_43.wav,"0,75000","0,29167","0,74138"
audio/44/ang_01_44.wav,"0,60000","0,45833","0,78448"
audio/45/ang_01_45.wav,"0,35000","0,50000","0,65517"
audio/46/ang_01_46.wav,"0,50000","0,25000","0,65517"
audio/47/ang_01_47.wav,"0,75000","0,29167","0,74138"
audio/48/ang_01_48.wav,"0,50000","0,37500","0,61207"
audio/49/ang_01_49.wav,"0,70000","0,37500","0,78448"
audio/50/ang_01_50.wav,"0,90000","0,37500","0,87069"
audio/51/ang_01_51.wav,"0,70000","0,19500","0,68448"
audio/52/ang_01_52.wav,"0,80000","0,13333","0,79310"
audio/53/ang_01_53.wav,"0,60000","0,30000","0,62069"
audio/54/ang_01_54.wav,"0,76000","0,20000","0,75862"
audio/55/ang_01_55.wav,"0,72000","0,20000","0,58621"
audio/56/ang_01_56.wav,"0,92000","0,10000","0,75862"
audio/57/ang_01_57.wav,"0,75000","0,25000","0,78448"
audio/58/ang_01_58.wav,"0,88000","0,13333","0,72414"
audio/59/ang_01_59.wav,"0,76000","0,30000","0,65517"
audio/60/ang_01_60.wav,"0,88000","0,10000","0,86207"
audio/01/ang_02_01.wav,"0,70600","0,26500","0,70517"
audio/02/ang_02_02.wav,"0,76000","0,20000","0,55172"
audio/04/ang_02_04.wav,"0,60000","0,23333","0,55172"
audio/05/ang_02_05.wav,"0,76000","0,20000","0,65517"
audio/06/ang_02_06.wav,"0,68000","0,16667","0,72414"
audio/07/ang_02_07.wav,"0,50000","0,36167","0,62586"
audio/08/ang_02_08.wav,"0,56000","0,26667","0,48276"
audio/09/ang_02_09.wav,"0,56600","0,50000","0,65517"
audio/10/ang_02_10.wav,"0,68000","0,13333","0,72414"
audio/13/ang_02_13.wav,"0,60000","0,33333","0,65517"
audio/14/ang_02_14.wav,"0,55000","0,58333","0,69828"
audio/15/ang_02_15.wav,"0,73400","0,38833","0,71207"
audio/16/ang_02_16.wav,"0,86600","0,33333","0,94310"
audio/17/ang_02_17.wav,"0,80000","0,38833","0,77069"
audio/18/ang_02_18.wav,"0,66600","0,27833","0,59828"
audio/19/ang_02_19.wav,"0,20000","0,16667","0,42586"
audio/20/ang_02_20.wav,"0,60000","0,50000","0,59828"
audio/21/ang_02_21.wav,"0,60000","0,45833","0,65517"
audio/29/ang_02_29.wav,"0,53400","0,16667","0,71207"
audio/30/ang_02_30.wav,"0,66600","0,38833","0,71207"
audio/31/ang_02_31.wav,"0,72000","0,33333","0,65517"
audio/32/ang_02_32.wav,"0,85000","0,50000","0,61207"
audio/33/ang_02_33.wav,"0,80000","0,25000","0,78448"
audio/34/ang_02_34.wav,"0,75000","0,29167","0,69828"
audio/35/ang_02_35.wav,"0,84000","0,30000","0,48276"
audio/36/ang_02_36.wav,"0,70000","0,29167","0,65517"
audio/37/ang_02_37.wav,"0,80000","0,33333","0,69828"
audio/38/ang_02_38.wav,"0,70000","0,29167","0,78448"
audio/39/ang_02_39.wav,"0,75000","0,29167","0,65517"
audio/40/ang_02_40.wav,"0,70000","0,33333","0,78448"
audio/41/ang_02_41.wav,"0,84000","0,13333","0,86207"
